      0	 0.000002
    100	 0.003152
    200	 0.023949
    300	 0.047832
    400	 0.096249
    500	 0.172272
    600	 0.299383
    700	 0.444656
    800	 0.654631
    900	 0.928757
   1000	 1.393999
   1100	 1.838448
   1200	 2.178785
   1300	 2.750634
   1400	 3.776111
   1500	 6.284260
   1600	 6.061978
   1800	 8.699561
   1900	 11.140706
   2000	 12.146508
   2100	 13.128272
   2200	 16.486133
   2300	 15.727448
   2400	 18.536365
   2500	 21.039332
   2600	 23.446018
   2700	 26.415484
   2800	 29.312577
   3000	 35.876225
   3100	 39.772179
   3200	 43.374276
   3300	 48.795410
   3500	 56.826982
   3600	 61.689017
   3700	 67.140723
   3800	 72.324182
   3900	 79.339375
   4000	 84.598582

