      0	 0.000000
    100	 0.002360
    200	 0.021009
    300	 0.046715
    400	 0.103873
    500	 0.166797
    600	 0.275971
    700	 0.433235
    800	 0.634209
    900	 0.915649
   1000	 1.221775
   1100	 1.646936
   1200	 2.362074
   1300	 3.310399
   1400	 4.530016
   1500	 4.854733
   1600	 5.133781
   1700	 7.621219
   1800	 8.762176
   1900	 9.299248
   2000	 11.076618
   2100	 13.490632
   2200	 14.664903
   2300	 16.493011
   2400	 18.140491
   2500	 20.680750
   2600	 22.998887
   2700	 25.838201
   2800	 29.008708
   2900	 32.018213
   3000	 35.146465
   3100	 38.701423
   3200	 42.541093
   3300	 51.058773
   3400	 50.894264
   3500	 55.800415
   3600	 60.672295
   3700	 66.004550
   3800	 75.533382
   3900	 78.078263
   4000	 85.843968

